renamed	dataset	sample_type
ABCS_03415	HRWT_TARGET	Primary Tumor
ABCS_03416	HRWT_TARGET	Primary Tumor
ABCS_03417	HRWT_TARGET	Primary Tumor
ABCS_03418	HRWT_TARGET	Primary Tumor
ABCS_03419	HRWT_TARGET	Primary Tumor
ABCS_03420	HRWT_TARGET	Primary Tumor
ABCS_03421	HRWT_TARGET	Primary Tumor
ABCS_03422	HRWT_TARGET	Primary Tumor
ABCS_03423	HRWT_TARGET	Primary Tumor
ABCS_03424	HRWT_TARGET	Primary Tumor
ABCS_03425	HRWT_TARGET	Primary Tumor
ABCS_03426	HRWT_TARGET	Primary Tumor
ABCS_03427	HRWT_TARGET	Primary Tumor
ABCS_03428	HRWT_TARGET	Primary Tumor
ABCS_03429	HRWT_TARGET	Primary Tumor
ABCS_03430	HRWT_TARGET	Primary Tumor
ABCS_03431	HRWT_TARGET	Primary Tumor
ABCS_03432	HRWT_TARGET	Primary Tumor
ABCS_03433	HRWT_TARGET	Primary Tumor
ABCS_03434	HRWT_TARGET	Primary Tumor
ABCS_03435	HRWT_TARGET	Primary Tumor
ABCS_03436	HRWT_TARGET	Primary Tumor
ABCS_03437	HRWT_TARGET	Primary Tumor
ABCS_03438	HRWT_TARGET	Primary Tumor
ABCS_03439	HRWT_TARGET	Primary Tumor
ABCS_03440	HRWT_TARGET	Primary Tumor
ABCS_03441	HRWT_TARGET	Primary Tumor
ABCS_03442	HRWT_TARGET	Primary Tumor
ABCS_03443	HRWT_TARGET	Primary Tumor
ABCS_03444	HRWT_TARGET	Primary Tumor
ABCS_03445	HRWT_TARGET	Metastatic
ABCS_03446	HRWT_TARGET	Primary Tumor
ABCS_03447	HRWT_TARGET	Primary Tumor
ABCS_03448	HRWT_TARGET	Primary Tumor
ABCS_03449	HRWT_TARGET	Primary Tumor
ABCS_03450	HRWT_TARGET	Primary Tumor
ABCS_03451	HRWT_TARGET	Primary Tumor
ABCS_03452	HRWT_TARGET	Primary Tumor
